chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.35581493,2279.2556179544463,1859.0946758789512,4079.422265625,0.1648828125,-289.63025,70.62287,-13.859411,20.66325,-23.815884,25.853497,2.731657,0.096509844,-26.634224,-0.49656707,-2.3221898,-7.8300858,-3.002351,4.382081,-12.197103,-7.254402,4.7825165,-19.785265,-10.57995,-0.12608698,neg
0.3913744,2611.7745150381006,2162.9938999541014,4821.781099759615,0.22998624722633135,-390.7124,43.811306,-30.857555,7.6457143,-6.9414988,-11.132335,-14.22959,-15.253749,-5.493281,2.421001,-8.589235,-14.122506,-1.5209416,-5.487656,-7.262077,-3.122172,-16.054205,-7.4186335,-5.8278813,-9.239323,neg
0.22330374,593.7285477747205,690.1388464370161,1085.2825617386122,0.02906101032838983,-503.94565,49.787193,11.708643,4.2513156,-8.17862,-10.887822,-13.122615,-12.418145,-9.915477,-5.480499,-6.7840495,-10.610192,-5.9767632,-6.6490884,-4.3658066,-0.53173596,-1.9111563,-1.79074,-2.0556495,-2.2282145,neg
0.20751768,814.2192440113039,687.9023483389618,1356.0288373161766,0.03812263837826797,-422.57523,45.150986,-7.5091352,-0.6601459,-0.18791154,9.063297,-8.819781,-9.50654,-12.708785,-6.226508,-1.7903875,-5.020748,-3.1821363,-5.5440235,-2.930384,-3.8584335,-4.394782,-6.0501623,-2.114188,-3.0326416,neg
0.4322683,2110.9929081238834,1863.9914824866335,4331.0133713942305,0.18578833276098902,-351.29962,89.935394,-31.631632,15.163299,-26.133059,18.506004,-23.430153,-24.359138,2.5498464,-2.6475074,-5.7116833,-13.442303,-0.7785337,-8.001501,-9.384506,-0.40990898,-2.0817552,-14.729263,-3.1997216,-4.91204,neg
0.46459058,1683.1216731265959,1675.9051055473221,3485.4558470022625,0.1085508873020362,-394.04425,98.46455,-25.424541,19.777712,-11.427799,7.304472,-10.490055,-16.974894,-10.258014,2.334561,1.0211811,-13.115743,2.5844643,-8.120153,-6.166432,-5.6333256,-8.5205,-8.087785,-10.556692,-4.7691092,neg
0.5488648,2657.5389378867385,2625.462250399445,5648.595797631048,0.12719164026497695,-466.04413,67.99337,3.3151462,-3.9293447,6.917387,-1.5957991,-0.68553466,-5.295129,-8.212144,3.7136388,-8.910596,-7.7837014,-6.917358,-6.140883,-4.049439,-1.749866,-7.591514,-3.1741645,-2.0244825,0.95909053,neg
0.40978986,2631.501248227325,1849.6156080197059,4651.667408963128,0.2295841233002092,-365.18582,43.217598,-39.6215,24.659119,-23.80712,17.736977,-17.484436,-14.666577,-12.953168,3.4921432,3.6365216,-9.394683,6.111688,-8.286679,-1.4668386,-4.7903886,-2.9916296,-8.293905,-6.2313933,-1.8134625,neg
0.39037102,2461.0748082781893,1894.7256506101232,4461.264237113621,0.2208902110224185,-301.20184,54.571564,-23.793966,14.817614,-31.656553,19.807018,-20.718525,-18.190048,-13.026195,-13.454773,-5.058608,-5.737265,-2.760321,-9.237443,-0.63055784,-8.059731,-4.0241423,-5.903627,-2.883906,-6.581946,neg
0.4418185,1816.8205085218312,1864.7249700359293,3392.036385371767,0.09829817147090517,-340.3243,75.27236,-17.763056,-7.520539,-11.989707,-22.998814,-14.523352,-13.131619,-17.070326,-5.9749575,-8.298591,-3.7142665,-2.384066,-5.3363557,-7.933656,-3.6280112,-9.257805,-3.975057,-3.672698,-4.4659877,neg
