chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.44803086,1455.886845119438,1678.4771119866632,2991.996707573092,0.05749136226784678,-396.987,122.79076,1.0888087,41.390705,-12.791134,21.982395,-5.4873466,14.275446,-0.8637222,-1.370474,6.790468,-2.5244668,6.3961987,-6.825392,10.959777,-1.3655251,2.456775,1.1885477,-1.3658308,1.6090518,No PD
0.42543477,1370.5331871433657,1721.4644619916864,2930.2904829545455,0.052558001893939395,-435.32758,131.07658,-2.1700397,49.321003,-17.246254,29.729723,-2.7791448,18.060385,-2.4744139,3.7042913,5.78915,-6.847492,8.639271,-8.145908,9.85999,-4.2444324,5.337262,2.5650616,0.08342137,-0.2573215,No PD
0.4084023,1538.9512556574364,1799.9886709722934,3463.440057051809,0.05771073190789474,-465.42,128.26503,-20.304987,60.577995,-20.186472,31.864794,-7.001173,17.626461,-3.824417,6.1887116,7.7899556,-4.8551598,10.94017,-4.9238763,17.152294,-2.2293165,8.981431,-1.2082607,-0.38256863,-0.16413255,No PD
0.49470904,1272.1245015572686,1674.9246743151762,2713.386426875159,0.04091493563836558,-384.058,84.24082,30.919302,23.150732,6.062621,14.796591,7.050995,11.42393,8.169546,2.7519565,6.785814,0.42864856,1.6783122,3.2782025,6.325322,4.688518,3.2680366,4.641687,2.3117228,0.04362993,No PD
0.44351062,1395.9002276116375,1762.2768453185313,3110.7340681187015,0.04689736744159414,-460.3456,118.54109,-5.219617,37.974926,-6.483355,24.5395,-2.2325366,16.537676,-0.70759994,3.454105,10.540233,-1.0776463,7.80052,-2.01074,14.016083,3.0225592,9.671853,4.0061975,-1.1771927,-0.37188327,No PD
0.39746553,1553.22120864783,1797.0871601032773,3528.2280245907546,0.05814476150051256,-444.2044,115.49392,-11.365033,52.476543,-18.851942,22.011372,-3.6474311,11.067134,-0.4217791,5.0381436,6.9900465,-3.548346,8.787338,-7.9756927,9.758826,0.49416822,2.9945576,0.4117404,0.6339229,-3.935615,No PD
0.42645758,1750.7392362770188,1864.2176047569847,3856.833920149136,0.07521287854834177,-428.69263,116.24153,-13.852946,50.225048,-18.393692,27.629387,-9.903946,10.518277,0.14308374,3.159646,9.585998,-1.5316719,7.825522,-7.017659,11.541929,-2.7981467,6.9052663,-0.48860556,-1.2473972,1.630636,No PD
0.36184588,1480.736208044484,1586.06069133166,3015.8260345458984,0.06591333661760602,-357.50018,137.90112,-19.08691,56.021812,-22.59025,22.204477,-4.8498564,7.9791555,-5.306053,-5.6786013,1.4913845,-5.8212023,6.564982,-15.871514,1.5701445,-7.0329933,-3.6627595,-0.6071592,-1.5101026,-1.6286329,No PD
0.31713453,1931.8525315898992,1750.7783714201391,3911.0033330139404,0.09213725131916714,-331.8604,117.76119,-28.675238,58.05617,-36.467087,22.736347,-8.56931,-3.7448292,-2.7068472,-1.4827882,1.7419237,-5.5432005,0.82153785,-8.175309,2.5442605,-14.881077,0.99604344,-6.9691815,-3.6657884,-0.28590152,No PD
0.4275054,1815.7358170760979,1793.9743565730646,3750.1475887505653,0.08759524134876356,-372.3793,127.37027,-15.9101305,69.951515,-32.799614,35.83833,-10.96458,11.912566,-5.126672,-5.322238,4.0923085,-8.92756,5.5398335,-15.492479,6.703276,-9.684335,-1.9715587,-3.4023826,2.2441804,2.825428,No PD
0.37837356,1783.032200152219,1693.9586900129268,3744.6466899671054,0.08201840049342106,-342.03412,124.5704,-33.841915,60.74519,-22.909384,18.706102,-3.2368221,7.361991,-4.1588573,-6.374516,-0.6236441,-3.517692,8.959017,-16.174566,0.11624486,-4.634143,0.34489754,-2.7973745,-3.4479578,0.60041964,No PD
0.39223194,1631.7973365535743,1899.0351874366136,3897.0076121920447,0.06368397183738717,-427.2399,128.41818,-10.686845,64.04749,-28.53268,34.896683,-12.764506,15.340484,0.33863816,-9.995079,7.3733377,-5.92104,5.3239326,-10.490238,3.7915967,-8.610594,-0.156678,-4.9463477,0.51538014,2.3755708,No PD
